Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
PAIP2B,13(9)[22],0(0)[0],1(1)[1],0(0)[0],1(0)[3]
PAPOLG,26(22)[42],3(3)[3],3(2)[4],0(0)[0],2(1)[3]
PARD3B,162(92)[538],20(17)[27],14(9)[25],0(0)[0],6(6)[6]
PASK,96(48)[837],29(22)[142],24(12)[141],2(0)[6],12(4)[175]
PAX3,31(18)[304],2(2)[2],5(3)[96],0(0)[0],0(0)[0]
PAX8,40(24)[248],2(2)[2],2(1)[3],0(0)[0],2(1)[80]
PCBP1,4(4)[4],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PCDP1,51(30)[233],10(7)[26],10(6)[17],0(0)[0],10(9)[11]
PCGF1,9(4)[17],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
PCYOX1,43(22)[903],10(9)[13],13(7)[35],3(2)[6],5(3)[31]
PDCD1,12(9)[16],3(0)[6],3(3)[3],0(0)[0],1(0)[2]
PDCL3,18(11)[54],4(1)[10],4(1)[8],0(0)[0],2(1)[5]
PDE11A,93(47)[4531],19(7)[1288],27(14)[656],5(2)[14],20(14)[131]
PDE1A,25(14)[58],4(3)[5],0(0)[0],0(0)[0],5(5)[5]
PDE6D,5(4)[9],1(1)[1],1(1)[1],0(0)[0],2(2)[2]
PDIA6,34(21)[107],6(4)[8],6(4)[12],3(2)[5],4(3)[5]
PDK1,43(26)[133],3(2)[9],6(1)[58],3(3)[3],5(4)[8]
PECR,44(20)[156],5(4)[6],6(3)[10],1(0)[107],1(1)[1]
PELI1,25(17)[44],4(3)[5],1(1)[1],1(1)[1],0(0)[0]
PER2,130(75)[4561],6(4)[12],5(4)[252],0(0)[0],3(3)[3]
PEX13,33(20)[134],2(2)[2],4(3)[6],0(0)[0],0(0)[0]
PFN4,17(8)[63],1(0)[2],2(1)[6],0(0)[0],3(2)[6]
PGAP1,55(36)[109],7(5)[10],6(4)[9],0(0)[0],5(5)[5]
PHOSPHO2,19(11)[73],7(5)[9],3(2)[5],0(0)[0],0(0)[0]
PID1,32(18)[64],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
PIGF,12(7)[50],2(0)[6],1(1)[1],0(0)[0],5(3)[12]
PIKFYVE,211(136)[3694],8(6)[10],15(12)[18],0(0)[0],4(3)[5]
PKDCC,33(16)[97],2(2)[2],3(3)[3],0(0)[0],5(3)[9]
PKP4,123(72)[1116],6(5)[7],12(8)[24],0(0)[0],8(4)[488]
PLA2R1,118(68)[537],32(20)[1442],20(13)[63],0(0)[0],13(7)[177]
PLB1,167(78)[35985],34(19)[88],39(24)[90],1(1)[1],45(26)[224]
PLCD4,78(42)[1139],13(10)[25],11(7)[132],0(0)[0],6(5)[8]
PLCL1,51(34)[53969],7(6)[8],6(6)[6],1(0)[2],2(2)[2]
PLEK,48(32)[370],1(1)[1],4(3)[5],0(0)[0],0(0)[0]
PLEKHA3,11(8)[23],1(1)[1],3(1)[6],0(0)[0],2(1)[3]
PLEKHB2,26(17)[63],4(3)[5],7(3)[97],0(0)[0],5(2)[19]
PLEKHH2,181(100)[3016],9(6)[13],38(27)[55],1(0)[2],9(9)[9]
PLEKHM3,61(26)[452],4(4)[4],5(3)[8],0(0)[0],0(0)[0]
PLGLB1,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PLGLB2,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PMS1,74(41)[825],17(9)[29],22(17)[40],0(0)[0],1(0)[2]
PNKD,51(28)[332],5(3)[7],13(8)[23],2(1)[14],5(4)[8]
PNO1,23(15)[125],1(1)[1],1(1)[1],0(0)[0],2(2)[2]
PNPT1,68(40)[275],1(1)[1],4(3)[5],0(0)[0],4(4)[4]
POLE4,0(0)[0],0(0)[0],4(4)[4],0(0)[0],2(1)[1]
POLR1A,117(68)[329],3(3)[3],7(5)[13],1(0)[3],2(1)[3]
POLR1B,50(31)[113],4(3)[6],9(8)[10],2(1)[3],0(0)[0]
POLR2D,7(5)[10],2(2)[2],0(0)[0],1(1)[1],2(2)[2]
POMC,30(14)[496],5(3)[10],4(2)[60],0(0)[0],1(1)[1]
POTEE,13(6)[668],12(8)[24],1(1)[1],0(0)[0],0(0)[0]
POTEF,43(16)[1828],13(2)[87],1(1)[1],0(0)[0],0(0)[0]
POTEI,11(6)[104466],9(3)[38],4(2)[15],0(0)[0],0(0)[0]
POTEJ,6(2)[1525],9(4)[17],1(0)[2],0(0)[0],0(0)[0]
POU3F3,1(1)[1],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PPIG,12(9)[19],10(7)[23],4(4)[4],0(0)[0],0(0)[0]
PPIL3,14(10)[112],0(0)[0],2(1)[114],1(1)[1],2(1)[8]
PPM1B,24(19)[36],4(4)[4],3(3)[3],0(0)[0],0(0)[0]
PPM1G,20(14)[41],1(1)[1],1(0)[6],0(0)[0],0(0)[0]
PPP1CB,1(1)[1],0(0)[0],0(0)[0],0(0)[0],1(0)[2]
PPP1R1C,9(5)[17],1(1)[1],3(2)[2],0(0)[0],2(1)[23]
PPP1R21,90(54)[1194],1(1)[1],9(7)[11],0(0)[0],4(3)[6]
PPP1R7,20(18)[22],2(2)[2],2(2)[2],0(0)[0],2(2)[2]
PPP3R1,1(1)[1],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PQLC3,28(15)[113],6(2)[32],4(1)[12],1(0)[3],7(2)[31]
PRADC1,19(5)[96],1(1)[1],6(2)[12],0(0)[0],3(1)[32]
PREB,36(23)[251],5(4)[6],4(3)[5],0(0)[0],3(3)[3]
PREPL,98(45)[303],12(9)[25],9(5)[39],1(1)[1],11(7)[41]
PRKAG3,50(28)[152],5(4)[6],5(4)[6],3(2)[7],7(5)[121]
PRKCE,26(18)[573],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PRKD3,82(54)[638],4(3)[5796],3(3)[3],0(0)[0],7(5)[9]
PRKRA,7(3)[15],1(1)[1],1(1)[1],1(1)[1],3(1)[17]
PRLH,17(8)[78],1(1)[1],1(0)[11],0(0)[0],1(0)[65]
PROC,44(25)[98],1(1)[1],4(4)[4],0(0)[0],1(1)[1]
PROKR1,49(23)[148],2(2)[2],9(5)[19],0(0)[0],2(0)[9]
PROM2,96(57)[835],7(4)[54],7(7)[7],0(0)[0],11(5)[38]
PRPF40A,19(12)[31],2(2)[2],5(3)[7],3(2)[5],1(0)[2]
PRR21,0(0)[0],33(10)[8356],2(1)[4],0(0)[0],0(0)[0]
PSD4,60(36)[663],5(3)[7],5(4)[6],2(1)[3],3(3)[3]
PSMD1,18(12)[28],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
PSMD14,1(1)[1],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
PSME4,52(31)[137],4(4)[4],5(5)[5],0(0)[0],3(1)[5]
PTCD3,65(37)[161],17(10)[41],12(8)[23],0(0)[0],6(4)[8]
PTH2R,73(36)[1788],6(3)[12],15(7)[1601],0(0)[0],9(6)[31]
PTMA,1(0)[2],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
PTPN18,48(27)[178],9(6)[13],8(6)[10],0(0)[0],6(5)[7]
PTPN4,40(27)[227],3(3)[3],2(2)[2],0(0)[0],2(1)[4]
PTPRN,82(42)[271],6(4)[10],5(4)[41],0(0)[0],4(3)[5]
PTRHD1,13(7)[31],2(1)[3],4(2)[7],1(1)[1],3(1)[7]
PUM2,19(14)[32],3(3)[3],3(3)[3],2(1)[16],0(0)[0]
PUS10,54(35)[104],5(3)[11],9(6)[16],0(0)[0],10(6)[16]
PXDN,158(92)[1156],8(8)[8],11(10)[12],0(0)[0],4(4)[4]
QPCT,54(33)[155],8(4)[16],10(5)[92],1(1)[1],3(3)[3]
R3HDM1,62(38)[147],1(1)[1],6(6)[6],1(0)[5],5(5)[5]
RAB10,2(2)[2],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
RAB11FIP5,103(43)[1157],5(5)[5],6(6)[6],0(0)[0],0(0)[0]
RAB17,29(15)[93],5(5)[5],3(3)[3],0(0)[0],2(2)[2]
RAB1A,4(3)[5],0(0)[0],0(0)[0],2(1)[3],1(1)[1]
RAB3GAP1,72(48)[300],8(6)[11],11(5)[21],0(0)[0],5(5)[5]
RAB6C,5(2)[596],8(6)[13],1(0)[2],0(0)[0],0(0)[0]
RABL2A,5(0)[1129],5(4)[3829],0(0)[0],0(0)[0],0(0)[0]
RAD51AP2,49(30)[214],25(17)[54],25(18)[39],2(1)[3],1(0)[25]
RALB,11(7)[33],2(2)[2],0(0)[0],0(0)[0],2(1)[7]
RAMP1,27(19)[72],4(1)[15],2(1)[4],0(0)[0],0(0)[0]
RANBP2,62(39)[194],8(8)[8],4(4)[4],1(1)[1],2(2)[2]
RAPGEF4,59(35)[154],2(2)[2],7(6)[8],1(1)[1],3(2)[10]
RAPH1,51(27)[444],3(1)[14],4(3)[9],0(0)[0],3(2)[4]
RASGRP3,67(44)[350],5(4)[19],4(1)[9],0(0)[0],2(1)[3]
RBKS,39(23)[110],13(7)[170],5(4)[11],0(0)[0],4(2)[853]
RBM43,24(12)[164],13(7)[942],3(2)[4],0(0)[0],0(0)[0]
RBM44,18(12)[1045],23(16)[105],3(1)[27],1(1)[1],4(3)[5]
RBM45,22(14)[86],7(4)[290],9(4)[27],0(0)[0],1(0)[5]
RBMS1,11(8)[16],0(0)[0],0(0)[0],2(0)[14],1(1)[1]
RDH14,93(50)[669],15(10)[37],10(4)[5997],1(1)[1],2(2)[2]
REEP1,4(3)[5],1(1)[1],2(1)[5],0(0)[0],0(0)[0]
REG1A,5(4)[10],2(2)[2],2(2)[2],0(0)[0],2(2)[2]
REG1B,21(9)[67],6(3)[68],3(1)[8],1(0)[2],2(2)[2]
REG3A,8(4)[37],1(1)[1],2(2)[2],0(0)[0],3(2)[7]
REG3G,21(9)[1607],2(2)[2],5(2)[55],0(0)[0],2(1)[3]
REL,24(20)[32],1(0)[2],1(1)[1],0(0)[0],3(3)[3]
RESP18,8(6)[42],1(0)[5],4(3)[5],0(0)[0],3(2)[286]
RETSAT,62(31)[365],18(7)[524],13(6)[138],0(0)[0],6(1)[392]
REV1,74(45)[271],3(1)[7],2(2)[2],0(0)[0],4(4)[4]
RFTN2,38(24)[104],4(3)[5],3(1)[8],0(0)[0],5(4)[6]
RFX8,16(8)[179],4(3)[10],0(0)[0],0(0)[0],3(1)[994]
RGPD1,1(0)[147],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
RGPD2,2(1)[97],4(3)[7],0(0)[0],0(0)[0],0(0)[0]
RGPD3,40(16)[13404],25(18)[76],9(3)[467],0(0)[0],4(2)[11]
RGPD4,6(2)[69],23(13)[175],4(0)[299],1(0)[4],8(4)[49]
RGPD5,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
RGPD6,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
RGPD8,4(0)[1461],6(4)[12],1(0)[59],0(0)[0],0(0)[0]
RHBDD1,25(11)[109],7(7)[7],8(5)[24],0(0)[0],5(4)[6]
RHOB,5(4)[8],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
RHOQ,14(11)[109],1(1)[1],2(1)[4],4(2)[8],0(0)[0]
RIF1,189(117)[1107],10(10)[10],1(1)[1],0(0)[0],3(3)[3]
RMDN2,49(30)[144],9(5)[120],14(7)[135],0(0)[0],9(5)[49]
RMND5A,10(9)[11],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
RNASEH1,15(13)[43],0(0)[0],3(2)[8],0(0)[0],2(1)[6]
RND3,23(15)[53],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
RNF103,38(22)[1112],1(1)[1],6(6)[6],1(1)[1],2(2)[2]
RNF103-CHMP3,8(4)[17],0(0)[0],3(3)[3],1(1)[1],1(1)[1]
RNF144A,35(21)[92],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
RNF149,26(13)[771],0(0)[0],3(2)[4],2(1)[3],5(4)[6]
RNF181,14(7)[62],4(2)[51],7(4)[18],1(1)[1],3(2)[21]
RNF25,33(19)[574],8(7)[9],2(2)[2],0(0)[0],2(2)[2]
ROCK2,32(20)[197],3(3)[3],2(1)[4],0(0)[0],1(1)[1]
RPE,20(16)[106],1(1)[1],1(0)[6],1(1)[1],2(2)[2]
RPIA,16(9)[30],2(2)[2],5(5)[5],0(0)[0],1(1)[1]
RPL31,1(0)[2],2(0)[5],0(0)[0],0(0)[0],0(0)[0]
RPL37A,5(3)[7],1(1)[1],1(1)[1],0(0)[0],3(0)[36]
RPRM,7(5)[9],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
RPS27A,7(6)[153],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
RPS7,1(1)[1],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
RQCD1,5(5)[5],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
RRM2,16(11)[30],3(3)[3],0(0)[0],0(0)[0],1(1)[1]
RSAD2,55(23)[285],5(5)[5],9(6)[20],1(0)[2],6(3)[79]
RTKN,58(20)[278],10(8)[13],9(8)[11],0(0)[0],3(3)[3]
RTN4,96(60)[1516],12(9)[104],6(5)[7],2(2)[2],3(3)[3]
SAG,50(21)[485],2(1)[4],6(3)[28],0(0)[0],7(3)[24]
SAP130,46(28)[105],1(1)[1],1(1)[1],0(0)[0],4(3)[5]
SATB2,14(12)[16],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
SCG2,56(32)[326],3(2)[4],1(1)[1],0(0)[0],0(0)[0]
SCLY,61(27)[378],6(4)[20],8(6)[19],0(0)[0],5(5)[5]
SCN1A,113(70)[667],0(0)[0],1(1)[1],0(0)[0],3(3)[3]
SCN2A,78(57)[246],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
SCN3A,92(62)[2604],2(2)[2],1(0)[2],0(0)[0],3(2)[7]
SCN7A,97(52)[1251],24(19)[43],21(14)[93],0(0)[0],10(5)[546]
SCN9A,149(94)[1485],12(10)[23],17(10)[33],1(0)[2],12(10)[18]
SCRN3,38(22)[274],6(3)[13],7(5)[13],0(0)[0],3(1)[64]
SCTR,50(30)[586],6(3)[16],9(6)[40],0(0)[0],6(3)[22]
SDC1,32(23)[163],1(0)[3],1(1)[1],0(0)[0],1(1)[1]
SDPR,35(17)[132],9(7)[12],6(3)[23],1(0)[2],0(0)[0]
SEMA4C,41(25)[146],1(1)[1],1(0)[2691],0(0)[0],1(0)[3]
SEMA4F,84(47)[393],8(6)[11],14(7)[28],1(1)[1],7(5)[50]
SEPT10,83(42)[1197],15(12)[20],4(3)[5],2(2)[2],3(2)[4]
SEPT2,21(11)[35],4(3)[5],2(2)[2],1(1)[1],1(0)[2]
SERPINE2,31(21)[55],4(4)[4],2(2)[2],0(0)[0],0(0)[0]
SERTAD2,36(17)[105],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
SESTD1,47(32)[129],2(2)[2],1(1)[1],0(0)[0],3(2)[4]
SF3B1,13(7)[50],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
SF3B14,4(2)[8],3(2)[4],0(0)[0],0(0)[0],0(0)[0]
SFT2D3,4(3)[6],2(0)[14],1(0)[0],0(0)[0],0(0)[0]
SFTPB,20(10)[175],4(2)[25],3(1)[7],0(0)[0],2(2)[2]
SFXN5,35(17)[92],5(5)[5],5(3)[17],1(0)[2],3(2)[7]
SGOL2,99(59)[14062],21(17)[30],9(7)[13],0(0)[0],2(2)[2]
SGPP2,40(22)[133],4(2)[8],4(4)[4],0(0)[0],0(0)[0]
SH2D6,23(10)[120],3(3)[3],3(1)[19],0(0)[0],1(0)[2]
SH3BP4,128(79)[452],6(4)[9],4(3)[5],1(1)[1],1(1)[1]
SH3YL1,44(20)[235],6(4)[11],5(0)[112],1(0)[6654],5(2)[42]
SIX2,13(11)[25],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
SIX3,11(9)[13],2(0)[12],1(1)[1],0(0)[0],0(0)[0]
SLC11A1,89(41)[488],10(10)[10],12(7)[28],1(1)[1],8(6)[14]
SLC16A14,27(16)[83],4(3)[5],2(2)[2],0(0)[0],1(1)[1]
SLC19A3,52(37)[183],4(2)[6],2(2)[2],0(0)[0],4(4)[4]
SLC1A4,46(32)[138],4(4)[4],2(0)[8],1(1)[1],1(1)[1]
SLC20A1,42(28)[109],3(2)[11],2(2)[2],0(0)[0],3(3)[3]
SLC23A3,21(11)[54],2(2)[2],8(2)[22],2(1)[3],2(1)[3]
SLC25A12,27(18)[72],1(0)[18],2(2)[2],0(0)[0],3(3)[3]
SLC30A3,17(8)[41],4(3)[21],8(4)[306],2(0)[10],0(0)[0]
SLC30A6,24(18)[70],3(3)[3],7(5)[10],5(3)[9],1(1)[1]
SLC35F5,24(18)[45],9(4)[3501],5(5)[5],0(0)[0],4(3)[6]
SLC35F6,26(17)[41],2(2)[2],4(3)[7],1(1)[1],2(2)[2]
SLC38A11,44(26)[427],2(1)[21],6(6)[6],0(0)[0],5(4)[7]
SLC39A10,39(25)[86],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
SLC3A1,101(51)[719],14(5)[11062],16(11)[47],3(3)[3],7(5)[16]
SLC40A1,16(12)[34],1(1)[1],1(1)[1],0(0)[0],1(1)[1]
SLC4A10,21(14)[33],3(3)[3],5(4)[1429],1(1)[1],9(9)[9]
SLC4A1AP,41(19)[240],14(12)[19],9(6)[18],1(0)[3],6(4)[17]
SLC4A3,113(71)[266],9(5)[219],3(2)[4],0(0)[0],5(5)[5]
SLC4A5,146(87)[600],16(12)[22],11(10)[12],2(2)[2],8(6)[11]
SLC5A6,36(23)[83],4(2)[27],3(2)[5],0(0)[0],2(2)[2]
SLC5A7,16(11)[31],2(1)[3],4(2)[6],0(0)[0],2(2)[2]
SLC8A1,63(48)[217],3(3)[3],1(1)[1],0(0)[0],1(0)[2]
SLC9A2,57(43)[243],4(2)[35],5(4)[6],2(1)[1],4(4)[4]
SLC9A4,108(58)[662],20(16)[351],11(7)[48],0(0)[0],2(2)[2]
SMARCAL1,48(28)[187],12(8)[19],7(5)[21],2(1)[4],5(2)[16]
SMC6,37(27)[80],7(7)[7],7(7)[7],0(0)[0],4(4)[4]
SMEK2,13(11)[18],6(3)[45],2(2)[2],0(0)[0],4(3)[8]
SMPD4,32(21)[97],8(8)[8],7(3)[6766],3(2)[5],7(5)[10]
SMYD1,63(31)[1161],5(1)[24],4(3)[5],0(0)[0],4(4)[4]
SMYD5,33(23)[371],6(2)[21],2(2)[2],0(0)[0],3(3)[3]
SNED1,47(29)[527],14(11)[58],1(0)[2],0(0)[0],6(3)[17]
SNRNP200,58(43)[80],2(2)[2],2(2)[2],0(0)[0],1(1)[1]
SNRNP27,3(3)[3],4(3)[5],3(0)[9],1(0)[2],2(2)[2]
SNRPG,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
SNTG2,50(18)[19984],9(6)[14],5(4)[49],0(0)[0],7(5)[10]
SNX17,28(21)[677],3(3)[3],1(1)[1],1(0)[12],4(4)[4]
SOCS5,17(11)[24],5(3)[7],3(2)[6],0(0)[0],0(0)[0]
SOS1,63(42)[169],0(0)[0],2(2)[2],1(1)[1],1(0)[15]
SOWAHC,33(19)[710],4(4)[4],2(2)[2],0(0)[0],0(0)[0]
SOX11,8(6)[11],1(1)[1],1(0)[2],0(0)[0],0(0)[0]
SP100,47(33)[103],17(12)[42],13(8)[35],1(1)[1],13(6)[351]
SP110,45(23)[13611],10(8)[18],10(5)[26],2(0)[150],10(9)[29]
SP140,90(48)[586],9(6)[44],5(4)[6],0(0)[0],14(9)[88]
SP140L,45(22)[257],10(5)[17],4(3)[6],2(0)[13166],7(3)[45]
SP3,25(15)[86],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
SP5,15(11)[21],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
SP9,5(5)[5],1(1)[1],4(3)[14],0(0)[0],0(0)[0]
SPAG16,50(31)[2339],11(9)[226],18(9)[54],1(0)[2238],13(7)[27]
SPAST,15(11)[26],1(0)[2],1(1)[1],0(0)[0],1(0)[2]
SPATA3,10(3)[4752],3(0)[26],1(0)[8],0(0)[0],0(0)[0]
SPATS2L,38(17)[100],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
SPC25,9(4)[74],7(3)[21],1(0)[3],0(0)[0],3(3)[3]
SPDYA,15(5)[58],7(3)[23],2(2)[2],0(0)[0],1(1)[1]
SPEG,363(203)[15193],8(8)[8],11(10)[19],1(0)[6],7(5)[10]
SPHKAP,180(116)[824],7(7)[7],7(6)[8],0(0)[0],2(2)[2]
SPOPL,30(21)[57],3(2)[7],4(3)[5],1(1)[1],2(1)[3]
SPP2,21(11)[98],3(3)[3],4(1)[7],1(1)[1],5(3)[11]
SPR,15(8)[77],3(3)[3],5(2)[20],0(0)[0],0(0)[0]
SPRED2,30(20)[68],6(6)[6],5(2)[9],1(1)[1],3(1)[6]
SPTBN1,163(112)[443],2(2)[2],2(1)[3],0(0)[0],3(3)[3]
SRBD1,68(48)[451],10(7)[14],18(12)[32],1(1)[1],9(7)[13]
SRSF7,2(2)[2],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
SSB,9(8)[10],3(1)[17],2(2)[2],0(0)[0],2(2)[2]
SSFA2,168(112)[6155],7(5)[9],7(5)[11],0(0)[0],6(5)[7]
ST3GAL5,29(21)[52],3(0)[19],5(3)[8],2(2)[2],1(0)[11]
ST6GAL2,32(20)[1668],6(4)[17],3(3)[3],0(0)[0],2(1)[4]
STAM2,60(40)[116],11(9)[19],3(3)[3],0(0)[0],4(3)[5]
STAMBP,29(14)[278],3(2)[5],6(3)[9],1(1)[1],2(2)[2]
STARD7,27(14)[87],2(2)[2],0(0)[0],0(0)[0],1(1)[1]
STAT1,12(10)[17],6(5)[7],0(0)[0],0(0)[0],0(0)[0]
STAT4,22(14)[146],3(3)[3],3(3)[3],0(0)[0],3(2)[85]
STEAP3,73(35)[479],4(3)[5],8(5)[40],0(0)[0],2(1)[15]
STK11IP,95(48)[992],17(11)[28],14(6)[99],0(0)[0],13(9)[18]
STK16,22(12)[88],5(3)[9],3(1)[10],0(0)[0],4(4)[4]
STK17B,19(15)[24],3(3)[3],3(2)[4],0(0)[0],1(1)[1]
STK25,28(18)[68],3(2)[4],6(5)[9],0(0)[0],2(1)[4]
STK36,91(54)[6508],17(9)[32],10(6)[19],0(0)[0],10(5)[24]
STK39,11(7)[42],2(1)[3],1(1)[1],0(0)[0],0(0)[0]
STON1,299(187)[2520],47(27)[159],32(18)[59],0(0)[0],6(5)[8]
STON1-GTF2A1L,164(104)[1284],28(18)[84],20(11)[40],0(0)[0],5(4)[7]
STRADB,22(11)[103],2(2)[2],5(3)[7],1(0)[5],1(1)[1]
STRN,45(31)[103],2(2)[2],4(3)[5],0(0)[0],3(2)[4]
SUCLG1,56(30)[324],3(2)[4],1(0)[2],1(0)[2],3(2)[4]
SULT1C2,36(15)[913],4(2)[505],7(2)[14],1(0)[3],2(1)[4]
SULT1C3,28(13)[38050],3(2)[4],8(3)[2967],1(0)[2],7(5)[17]
SULT1C4,34(16)[182],6(4)[12],5(4)[809],0(0)[0],3(1)[26]
SULT6B1,27(12)[724],5(2)[8],7(3)[23],1(1)[1],8(7)[10]
SUMO1,1(1)[1],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
SUPT7L,19(11)[81],4(2)[11],1(1)[1],1(1)[1],0(0)[0]
TACR1,34(23)[146],4(3)[8],6(3)[9],0(0)[0],1(0)[4]
TAF1B,38(32)[527],17(8)[6332],11(7)[60],1(0)[24],2(2)[2]
TANC1,141(88)[620],10(8)[12],11(8)[17],2(2)[2],3(2)[6]
TANK,18(9)[38],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
TBC1D8,113(61)[694],14(9)[21],14(5)[28],0(0)[0],4(3)[9]
TBR1,21(20)[35],0(0)[0],0(0)[0],1(1)[1],0(0)[0]
TCF23,30(12)[324],3(2)[4],3(0)[8],1(1)[1],2(2)[2]
TCF7L1,65(41)[289],3(3)[3],1(1)[1],1(0)[2],2(2)[2]
TEKT4,80(35)[3912],5(4)[6],12(9)[33],0(0)[0],3(1)[19]
TET3,148(92)[384],2(2)[2],0(0)[0],0(0)[0],0(0)[0]
TEX261,10(7)[14],0(0)[0],3(2)[5],0(0)[0],3(2)[4]
TEX37,26(13)[946],5(4)[6],5(2)[65],0(0)[0],2(2)[2]
TFCP2L1,16(8)[49],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
TFPI,16(11)[39],5(5)[5],2(2)[2],1(1)[1],4(3)[5]
TGFA,9(5)[199],1(0)[2],2(1)[1],0(0)[0],0(0)[0]
TGFBRAP1,40(32)[72],0(0)[0],4(4)[4],0(0)[0],2(2)[2]
TGOLN2,23(14)[1346],5(3)[11],5(4)[9],1(1)[1],0(0)[0]
THADA,138(89)[849],25(21)[57],29(22)[46],2(0)[5],17(11)[29]
THAP4,29(22)[60],0(0)[0],4(4)[4],0(0)[0],0(0)[0]
THNSL2,49(21)[647],10(5)[41],5(2)[30],1(1)[1],7(6)[359]
THUMPD2,43(28)[95],8(6)[10],9(3)[45],1(1)[1],5(3)[8]
TIA1,13(9)[18],1(1)[1],1(0)[2],1(1)[1],3(3)[3]
TIGD1,1(0)[2],3(1)[6],1(0)[8],1(0)[3],0(0)[0]
TLK1,18(16)[21],1(1)[1],0(0)[0],1(1)[1],0(0)[0]
TLX2,16(14)[34],0(0)[0],2(2)[2],1(1)[1],0(0)[0]
TM4SF20,30(16)[172],2(1)[3],4(3)[7],1(1)[1],4(2)[9]
TMBIM1,45(18)[60861],7(4)[12],5(3)[8],0(0)[0],4(2)[8]
TMEFF2,22(15)[31],1(1)[1],2(1)[3],1(1)[1],2(2)[2]
TMEM127,21(14)[119],1(1)[1],2(1)[3],1(0)[3],0(0)[0]
TMEM131,126(77)[822],1(1)[1],2(2)[2],0(0)[0],4(2)[6]
TMEM150A,18(12)[41],0(0)[0],1(0)[2],0(0)[0],2(2)[2]
TMEM163,17(12)[38],0(0)[0],1(1)[1],0(0)[0],2(2)[2]
TMEM169,35(21)[726],2(2)[2],4(4)[4],0(0)[0],0(0)[0]
TMEM17,10(5)[21],0(0)[0],2(2)[2],0(0)[0],2(2)[2]
TMEM177,36(20)[190],8(4)[50],2(1)[937],1(1)[1],0(0)[0]
TMEM178A,22(14)[38],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
TMEM18,17(13)[22],5(4)[7],2(1)[5],0(0)[0],1(0)[6]
TMEM182,28(14)[122],1(1)[1],3(2)[4],1(1)[1],0(0)[0]
TMEM185B,6(4)[6032],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
TMEM194B,13(8)[35],3(2)[4],2(2)[2],0(0)[0],2(2)[2]
TMEM198,11(5)[62],2(1)[3],3(3)[3],0(0)[0],1(1)[1]
TMEM214,65(44)[38362],1(0)[6],6(4)[10],0(0)[0],4(4)[4]
TMEM237,32(19)[82],6(4)[13],9(4)[26],1(1)[1],6(5)[8]
TMEM247,11(5)[48],3(1)[210],2(1)[64],0(0)[0],1(0)[3]
TMEM37,13(12)[14],1(1)[1],3(3)[3],0(0)[0],1(1)[1]
TMEM87B,60(39)[214],10(9)[16],7(3)[34],0(0)[0],9(5)[30]
TMSB10,1(1)[1],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
TNFAIP6,33(21)[1683],7(3)[58],6(5)[17],0(0)[0],3(2)[5]
TNP1,12(4)[28],0(0)[0],0(0)[0],1(1)[1],1(1)[1]
TNS1,153(75)[9157],2(1)[5],3(2)[9],1(0)[2],7(6)[39]
