Gene,MGI Phenotypes,MGI Essential,MGI Seizure
DHX9,MP:0003895;MP:0001675;MP:0005030;MP:0011096;MP:0011091;MP:0005032;MP:0001672;MP:0011186;MP:0011187;MP:0013504;MP:0001695;MP:0012105;MP:0001683;MP:0002230,1,0
TCOF1,MP:0009902;MP:0010940;MP:0000455;MP:0000457;MP:0005274;MP:0012706;MP:0011087;MP:0000435;MP:0000440;MP:0004873;MP:0012701;MP:0004871;MP:0000024;MP:0003935;MP:0000102;MP:0004837;MP:0001065;MP:0001081;MP:0000438;MP:0000929;MP:0001953;MP:0030084;MP:0003735;MP:0002177;MP:0004570;MP:0002116;MP:0000962;MP:0000091;MP:0004469;MP:0004188;MP:0030124;MP:0009886;MP:0009887;MP:0030250;MP:0003984;MP:0030377;MP:0030060;MP:0000097;MP:0002621;MP:0000428;MP:0004282;MP:0013267;MP:0001954;MP:0005272;MP:0012757;MP:0004869;MP:0001270;MP:0005105;MP:0004424;MP:0004419;MP:0002820;MP:0000460;MP:0006294;MP:0003104;MP:0000111;MP:0004475;MP:0000030;MP:0003864;MP:0000914;MP:0005657;MP:0000783;MP:0001093;MP:0000074;MP:0012760;MP:0004872;MP:0005249;MP:0000433;MP:0000103;MP:0001293;MP:0003232;MP:0004726;MP:0004310;MP:0000107;MP:0009843;MP:0002237;MP:0004383;MP:0012523;MP:0013351;MP:0004592;MP:0012505;MP:0004376;MP:0009903;MP:0000088,1,0
NSRP1,MP:0011092,1,0
NUP98,MP:0005040;MP:0005042;MP:0011089;MP:0005095;MP:0001672;MP:0005348;MP:0005017;MP:0001805;MP:0008495;MP:0001698;MP:0008075;MP:0001695;MP:0001839,1,0
XPC,MP:0002048;MP:0008014;MP:0005621;MP:0008410;MP:0001203;MP:0001999;MP:0001222;MP:0002027;MP:0000377;MP:0003674;MP:0004501,0,0
SP1,MP:0008973;MP:0001265;MP:0011098;MP:0002085;MP:0001293;MP:0001698,1,0
GRINA,MP:0002169,0,0
SP3,MP:0003072;MP:0000245;MP:0001265;MP:0011087;MP:0001716;MP:0000106;MP:0000107;MP:0004448;MP:0000102;MP:0012099;MP:0000060;MP:0003073;MP:0000600;MP:0000438;MP:0000141;MP:0001953;MP:0008801;MP:0000109;MP:0003419;MP:0003843;MP:0008395;MP:0008277;MP:0000706;MP:0008958;MP:0004607;MP:0000159;MP:0000078;MP:0000116;MP:0005306;MP:0010029;MP:0002144;MP:0000077;MP:0008959;MP:0002896;MP:0002270;MP:0009703;MP:0002650;MP:0030544;MP:0008877;MP:0030542;MP:0008075;MP:0003420,1,0
SP5,MP:0011968;MP:0002169,0,0
SP6,MP:0001262;MP:0001265;MP:0008770;MP:0000126;MP:0003815;MP:0003810;MP:0003930;MP:0000564;MP:0010747;MP:0000387;MP:0030497;MP:0003053;MP:0005358;MP:0001282;MP:0030088;MP:0001284;MP:0002818;MP:0002817;MP:0013129;MP:0001274;MP:0030457;MP:0000565;MP:0030473;MP:0030472;MP:0002083;MP:0001211;MP:0000116;MP:0000652;MP:0001219;MP:0006369;MP:0003809;MP:0002270;MP:0002650;MP:0002100;MP:0030525;MP:0002169;MP:0010773;MP:0002577;MP:0004033;MP:0030079;MP:0003404;MP:0010685,0,0
SPPL3,MP:0001262;MP:0003360;MP:0001258;MP:0001363;MP:0001732;MP:0003961;MP:0001921;MP:0001417,0,0
OPA3,MP:0001262;MP:0010398;MP:0000005;MP:0008515;MP:0000445;MP:0002090;MP:0001492;MP:0001732;MP:0005405;MP:0002981;MP:0010725;MP:0000598;MP:0004777;MP:0009269;MP:0005608;MP:0002628;MP:0001783;MP:0008513;MP:0001505;MP:0002971;MP:0002970;MP:0006395;MP:0001406;MP:0001258;MP:0001402;MP:0000010;MP:0001429;MP:0008507;MP:0002083;MP:0000745;MP:0001330;MP:0011110;MP:0003921;MP:0009703;MP:0003727;MP:0006303;MP:0011015;MP:0002795;MP:0010499;MP:0006035;MP:0006036;MP:0006309;MP:0004701;MP:0009355;MP:0009642;MP:0002754;MP:0002753;MP:0003662;MP:0010025,1,0
OPA1,MP:0003232;MP:0008513;MP:0010630;MP:0002090;MP:0001672;MP:0000849;MP:0011639;MP:0000829;MP:0010748;MP:0000428;MP:0000825;MP:0004087;MP:0000823;MP:0005405;MP:0010061;MP:0001914;MP:0005551;MP:0000921;MP:0011967;MP:0011732;MP:0001785;MP:0003984;MP:0002834;MP:0008067;MP:0011633;MP:0011630;MP:0011636;MP:0000358;MP:0001405;MP:0011098;MP:0011092;MP:0001701;MP:0001700;MP:0001967;MP:0000745;MP:0001330;MP:0005584;MP:0002183;MP:0014046;MP:0000914;MP:0003213;MP:0006303;MP:0005221;MP:0004090;MP:0002884;MP:0009901;MP:0006035;MP:0006036;MP:0006309;MP:0001393;MP:0011629;MP:0011628;MP:0008056;MP:0008260;MP:0001698;MP:0014185;MP:0002651;MP:0001413;MP:0001691;MP:0001513;MP:0010025,1,0
RAB40C,MP:0005633;MP:0011110;MP:0013293;MP:0005562,1,0
CBX1,MP:0002169,0,0
FBL,MP:0011094;MP:0011101;MP:0001730,1,0
COL7A1,MP:0008489;MP:0002110;MP:0000572;MP:0011160;MP:0011085;MP:0008770;MP:0001243;MP:0000579;MP:0002082;MP:0000762;MP:0003723;MP:0001216;MP:0001219;MP:0010124;MP:0001208;MP:0002169,1,0
CLRN1,MP:0002098;MP:0004814;MP:0004521;MP:0006359;MP:0004527;MP:0004465;MP:0004397;MP:0004737;MP:0001525;MP:0011966;MP:0011967;MP:0001967;MP:0004414;MP:0004532;MP:0004438;MP:0004432;MP:0006325;MP:0004491;MP:0009142;MP:0000043;MP:0004403;MP:0001410;MP:0001489,0,0
ARFRP1,MP:0011207;MP:0003085;MP:0005621;MP:0011209;MP:0011091,1,0
PSAP,MP:0003918;MP:0008026;MP:0000689;MP:0004852;MP:0000755;MP:0000042;MP:0002989;MP:0003329;MP:0000519;MP:0003289;MP:0000607;MP:0011088;MP:0000598;MP:0003492;MP:0000961;MP:0002269;MP:0002133;MP:0005449;MP:0002136;MP:0002703;MP:0001405;MP:0001406;MP:0001407;MP:0001402;MP:0001967;MP:0004953;MP:0002182;MP:0000031;MP:0004434;MP:0006055;MP:0000876;MP:0004910;MP:0003354;MP:0002826;MP:0003993;MP:0004811;MP:0003871;MP:0000436;MP:0001158;MP:0002059;MP:0009643;MP:0000160;MP:0004302;MP:0002118;MP:0001393;MP:0001525;MP:0001524;MP:0003633;MP:0003632;MP:0001859;MP:0011617;MP:0001547;MP:0004901;MP:0004393;MP:0004740;MP:0000783;MP:0005302;MP:0004746;MP:0010047;MP:0001399;MP:0000852;MP:0008918;MP:0001392;MP:0002169;MP:0002730;MP:0001919;MP:0002631;MP:0001262;MP:0001263;MP:0001265;MP:0011083;MP:0000920;MP:0000921;MP:0000849;MP:0004404;MP:0005404;MP:0005405;MP:0003691;MP:0004757;MP:0000880;MP:0004087;MP:0008489;MP:0005277;MP:0005300;MP:0001168;MP:0004924;MP:0011967;MP:0001762;MP:0004929;MP:0002064;MP:0000787;MP:0008260;MP:0001473;MP:0001364;MP:0002092;MP:0004962;MP:0003382;MP:0001045;MP:0006082;MP:0001516;MP:0002882;MP:0004632;MP:0002446;MP:0000820;MP:0004633;MP:0011101;MP:0003224;MP:0004736;MP:0002574;MP:0001426;MP:0002083;MP:0000745;MP:0000747;MP:0005584;MP:0008285;MP:0000748;MP:0001106;MP:0004191;MP:0002184;MP:0000955;MP:0005180;MP:0001513;MP:0002809;MP:0003402;MP:0009434;MP:0000521,1,1
