chromosome	OFFSPRING GENDER	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	>=10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	>=10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
X	MALE	HOM-VAR	ANY	HOM-REF	>=10	ANY	ANY	DE NOVO
X	FEMALE	HET	NA	HOM-REF	>=10	HOM-REF	>=10	DE NOVO
X	MALE	HOM-VAR	ANY	HET	>=10	ANY	ANY	NEWLY HEMIZYGOUS
X	MALE	HOM-VAR	ANY	HOM-REF	<10	ANY	ANY	NEWLY HEMIZYGOUS OR POSSIBLY DE NOVO
X	MALE	HOM-VAR	>=10	HOM-VAR	>=10	ANY	ANY	NO FLAG
X	MALE	HOM-VAR	ANY	HET	<10	ANY	ANY	POSSIBLY NEWLY HEMIZYGOUS
X	MALE	HOM-VAR	ANY	HOM-VAR	<10	ANY	ANY	UNLIKELY NEWLY HEMIZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	>=10	HET	>=10	NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	<10	HET	>=10	NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	>=10	HET	<10	NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	<10	HET	<10	NEWLY HOMOZYGOUS
X	FEMALE	HET	NA	HET	<10	HET	<10	NO FLAG
X	FEMALE	HET	NA	HET	<10	HOM-REF	<10	NO FLAG
X	FEMALE	HET	NA	HET	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	<10	HET	<10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	<10	HET	<10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	<10	HOM-REF	<10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	HET	NA	HET	<10	HET	>=10	NO FLAG
X	FEMALE	HET	NA	HET	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	HET	NA	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	<10	HET	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	<10	HET	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	HET	NA	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	HET	NA	HET	>=10	HET	<10	NO FLAG
X	FEMALE	HET	NA	HET	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	HET	NA	HET	>=10	HOM-VAR	<10	NO FLAG
