#dragendb_gene	uptodate_gene
RP11-351J23.2	LINC02538
FAM46D	TENT5D
AC010731.4	FAM237A
RP11-157B13.6	BNIP3P30
MIR2117	MIR2117HG
AC009960.6	MTND4LP17
C9orf141	PRR31
GS1-410F4.4	LINC01479
AC092661.1	LINC01378
RP11-116A1.1	LINC02161
ZNF767	ZNF767P
CASC5	KNL1
RP4-655J12.4	LINC01762
AC069394.1	LINC01832
AC016629.8	MZF1-AS1
MINOS1P3	MICOS10P3
CTD-2330J20.1	MTCO3P23
TSSC1-IT1	EIPR1-IT1
RP11-385J23.1	EIF1P7
hsa-mir-3171	MIR3171
RP11-361A21.1	RPSAP50
AL591704.9	S100A7P1
HIAT1	MFSD14A
CCDC108	CFAP65
SRPR	SRPRA
HEXDC	HEXD
RP1-197O17.2	PNKDP1
C4orf22	CFAP299
RP11-417E7.2	LINC02544
RP11-11C20.1	BTF3P1
TRNAS30P	NMTRS-TGA3-1
AF228730.7	SNRPCP15
ACPT	ACP4
AC090043.1	RPL23AP38
RP11-540E16.2	TEMN3-AS1
RP11-248E9.5	LINC02258
XXbac-BPG154L12.4	TSBP1-AS1
AC003051.1	LINC01483
RP11-196P2.1	LINC01442
RP11-103G8.1	SNRPCP3
RP11-946L20.1	MTCO1P47
RP11-60A8.2	LINC02230
CTC-313D10.1	LINC01957
ZNF271	ZNF271P
PAPD5	TENT4B
AC107622.1	SGO1-AS1
RP4-601K24.1	LINC01362
C9orf37	ARRDC1-AS1
RP11-290F20.1	LINC01270
RP11-318I4.1	LINC02379
RP11-139K4.2	LINC01995
CTD-2316B1.2	LINC02144
PRAMEF9	PRAMEF15
RP11-476M19.2	LINC02417
5S_rRNA	RNA5SP506
U4	RNU4-89P
RP11-728B21.3	LAPTM4BP2
AZI1	CEP131
HDHD1P2	PUDPP2
KB-1836B5.3	RPL12P48
RP11-434C1.3	DDX55P1
C1orf145	OBSCN-AS1
RP4-669L17.1	RPL23AP24
RP11-295P22.1	ACTR3BP1
RP11-1008C21.1	LINC02345
C20orf196	SHLD1
RP11-10B2.1	MTCO1P53
CTD-2547E10.2	SMG1P3
RP11-280O24.1	ATP5PDP3
RP11-147N17.1	C3orf67-AS1
RP11-451N19.1	RPL12P36
FAM86A	EEF2KMT
RP11-445P17.5	RPL26P28
AC093326.1	LINC01874
LYRM5	ETFRF1
RP11-37O16.4	MTCO2P15
RP11-14K3.2	C1QL1P1
RP11-212I21.2	MMP2-AS1
RP11-9E13.4	RPL26P29
RP11-48F14.2	LINC02051
AL035610.2	LINC01695
AC093901.1	THORLNC
RP11-350G8.3	RPSAP17
AC087431.1	RPSAP32
RP11-414B7.1	CDK4P1
LOC100421166	SEC24AP1
GNB2L1	RACK1
ZNRD1-AS1	ZNRD1ASP
PTCHD2	DISP3
AC010091.4	DDX43P3
AC011737.2	RPL12P16
TRIM49D2P	TRIM49D2
AC093415.2	ITGA9-AS1
C7orf55	FMC1
XAGE2B	XAGE2
RP11-179A18.1	RPSAP29
RP11-309E23.2	SLC14A2-AS1
SEPP1	SELENOP
RP11-105C20.3	DUXAP11
RP11-261C10.2	SEPT14P21
RP11-274K13.5	E2F6P4
FAM58CP	CCNQP2
Y_RNA	RNY1P16
Y_RNA	RNY1P14
RP4-534P7.2	MTCYBP14
RP1-69M21.2	LINC01647
AC108142.1	TENM3-AS1
AC073869.7	MTCO1P18
MXRA5P1	MXRA5Y
AC016682.1	LINC01818
RP1-265C24.5	ZNF602P
RP11-202A13.1	LINC02000
MINOS1P4	MICOS10P4
AC195454.1	LINC02265
RP11-557J10.3	NCOA4P3
RP11-627H22.9	MTCYBP17
RP11-799P8.1	LINC01467
AC003973.6	BNIP3P28
RP11-433J8.2	LINC02299
CTD-2501O3.2	SYPL1P1
RP11-157D6.1	B3GNTL1P2
RP11-370B11.1	CLIC4P1
C9orf172	AJM1
RP11-487I5.4	RPS26P42
RP11-341A11.2	GXYLT1P3
RP11-395P17.3	SLC25A25-AS1
RP11-125D12.2	LINC02529
RP11-62F24.2	BNC2-AS1
AC006026.10	CLK2P1
CTC-661I16.1	RPL23AP91
CTD-2117L12.1	LINC02108
ATP5L	ATP5MG
RP1-13P20.6	LINC01527
RP1-8B22.1	DYNLL1P3
RP11-707A18.1	LINC02232
AC025811.2	BNIP3P32
AC073869.8	MTCO2P18
RP11-60H5.1	LINC01964
RP11-488I20.7	FRG2HP
C20orf62	LINC01620
RP11-152P17.2	ZFPM2-AS1
CTD-2201E18.4	PRELID3BP5
RP11-80F22.9	FRG2DP
RP1-137D17.1	LINC02519
DFNA5	GSDME
AC005682.7	RPL12P10
RP11-672L10.4	BOLA2P1
